,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1990,0,0,0,0,0,0,0.019894999,0.007333998,0.118865262,0.040087424,0.061687967,0.040807979,0.018179769,0.016716722,0.009349675,0.104716292,0,0.011665673,0.009349675,0.086612542,0,0,0,0,0,0.000678297,0.020140152,0.004289552,0.10732729,0.015543885,0.036925245,0.017048958,0.022072336,0.034018616,0.00266608,0.032991832,0.014309389,0.005332161,0.009204157,0.027788023
1991,0,7.72E-05,0.001296299,0.003343304,0.010460299,0.001156111,0.014245464,0.035261694,0.00473351,0.068772172,0.024846081,0.027911658,0.008138636,0.02339358,0.023273121,0.019519053,0.018322218,0.019519704,0.005962457,0.031359471,0,0,0.001710665,0.00627904,0.018569435,0.007593754,0.017174037,0.057628921,0.008709654,0.124464544,0.031210818,0.042343866,0.008383169,0.017630422,0.01644745,0.014909141,0.019210189,0.008305591,0.005051877,0.039250309
1992,0,0,0,0.001367042,0.004404219,0.0065366,0.005851795,0.021311542,0.07747016,0.018250517,0.119436555,0.036141479,0.029418339,0.011191335,0.022387476,0.015205313,0.014425844,0.017847344,0.012637643,0.049992938,0,0,0,0.001593192,0.002407898,0.004361338,0.005317495,0.023149299,0.074205717,0.021442722,0.098020989,0.016587207,0.014213356,0.011417479,0.004347419,0.006473521,0.005705363,0.006314424,0.003110006,0.01726338
1993,0,0,0,0,0.011774232,0.007428618,0.01540475,0.010916878,0.016390864,0.084604552,0.007355364,0.110270525,0.027967697,0.032350445,0.019670741,0.027983973,0.016519338,0.028192588,0.026792562,0.09698314,0,0,0,0,0.007207371,0.007799617,0.010556638,0.007323902,0.009318706,0.053090178,0.009701134,0.072238651,0.013119673,0.01750686,0.005886744,0.010875064,0.01539035,0.003656894,0.009748035,0.034649571
1994,0,0,7.02E-05,0,0.001087913,0.001640127,0.009410973,0.037704475,0.009699526,0.028278967,0.155258411,0.002534085,0.11201293,0.011417796,0.039657617,0.020455896,0.010265349,0.031488122,0.01857511,0.090754184,0,0,0,0.000407977,0.003940153,0.003215122,0.004190131,0.01499028,0.01568674,0.01332867,0.07179515,0.004859806,0.066670504,0.008603765,0.025835598,0.008979765,0.008045394,0.007214841,0.009719306,0.026049831
1995,0,0,0,0,0,0,0.033686987,0.052138014,0.022642545,0.013163066,0.017469806,0.102626066,0.00221403,0.161639687,0.014573859,0.026965021,0.021532249,0.015717242,0.017374715,0.073782766,0,0,0,0,0.000883522,0.003648557,0.018555956,0.03611202,0.018985362,0.009157759,0.01197965,0.073902363,0.00166787,0.072362734,0.006551686,0.011196396,0.004044958,0.005261322,0.002419135,0.0230936
1996,0,0,0,0,0,0,0.009536901,0.051002204,0.055508778,0.015403427,0.01881318,0.02682211,0.062743731,0.014599233,0.099731039,0.017234969,0.034748911,0.007079689,0.012565094,0.088733601,0,0,0,0,0,0.003287712,0.013606579,0.053274353,0.025991685,0.004866826,0.003593149,0.026450232,0.096725569,0.025591731,0.047663286,0.002108106,0.010606438,0.003987682,0.009607747,0.026850336
1997,0,0,0,0,0,0.012495082,0.009041323,0.011223477,0.056078609,0.037688248,0.022419319,0.01585309,0.033114989,0.058253686,0.018874933,0.07330085,0.029652095,0.006793676,0.003986334,0.065241875,0,0,0,0,0,0.004274928,0.005725481,0.031111946,0.094752292,0.031760587,0.014481367,0.013996234,0.02486195,0.070965988,0.013777284,0.068510382,0.013391468,0.014449668,0,0.033026403
1998,0,0,0,0,0.001583965,0.007008463,0.024980711,0.021446873,0.031898256,0.065744945,0.061611126,0.04128712,0.049481811,0.042018586,0.067609769,0.043454406,0.05450632,0.024007968,0.032177816,0.117015658,0,0,0,0,0,0.001905264,0.011628534,0.016780607,0.016957885,0.037218326,0.029829123,0.022016673,0.006380341,0.013957996,0.023255021,0.006906616,0.021899995,0.011774761,0.009796922,0.041610576
1999,0,0,0,0,0,0.003871635,0.012134467,0.026491767,0.029322239,0.023853167,0.084188111,0.042944336,0.027966331,0.039380448,0.048162227,0.07012382,0.062364449,0.057878599,0.027404993,0.112979702,0,0,0,0,0.000160642,0.001586354,0.003071552,0.013077412,0.007885655,0.010806666,0.030596475,0.034900048,0.020249118,0.015833031,0.022889757,0.029338191,0.017510508,0.025385751,0.011826729,0.032709117
