ParName   Value   Gradient
natmort_m     0.139431 -7.06684e-06
q_alpha(1)    -0.246141  2.28809e-06
q_beta[1](1)    0.0649091  2.63581e-06
q_beta[1](2)    0.0110561  -7.6664e-06
q_beta[1](3)  -0.00966902  1.10883e-05
mean_log_rec     0.997997  2.75117e-05
rec_dev(1954)    -0.277391 -4.31919e-05
rec_dev(1955)    -0.483762 -2.03583e-05
rec_dev(1956)    -0.632032  4.42188e-05
rec_dev(1957)     0.685989  0.000161218
rec_dev(1958)     0.282107  7.04337e-05
rec_dev(1959)    -0.145667  7.01616e-05
rec_dev(1960)    -0.309405  7.40448e-05
rec_dev(1961)    -0.898658  4.27551e-05
rec_dev(1962)    -0.253349  5.45176e-05
rec_dev(1963)    -0.903011  1.50283e-05
rec_dev(1964)    -0.981997  1.22528e-05
rec_dev(1965)    -0.708624  4.56111e-06
rec_dev(1966)    -0.661542 -1.24365e-05
rec_dev(1967)     0.101607 -3.57742e-06
rec_dev(1968)     0.547909  3.87666e-05
rec_dev(1969)     0.583747   2.1152e-05
rec_dev(1970)     0.864094   4.4689e-05
rec_dev(1971)     0.971395   3.5065e-05
rec_dev(1972)     0.728735  2.44384e-05
rec_dev(1973)     0.361622  1.78036e-05
rec_dev(1974)     0.648678  1.52164e-05
rec_dev(1975)     0.812545  2.74594e-05
rec_dev(1976)     0.379611 -9.68981e-06
rec_dev(1977)      0.59385  5.05605e-06
rec_dev(1978)     0.180653  1.25171e-06
rec_dev(1979)     -0.27272  2.57771e-06
rec_dev(1980)     0.396297  2.14111e-06
rec_dev(1981)     0.101682  5.00494e-06
rec_dev(1982)      1.18377 -3.50079e-05
rec_dev(1983)    -0.592741   1.2181e-05
rec_dev(1984)     0.951686 -2.46146e-05
rec_dev(1985)    -0.149925  1.03575e-06
rec_dev(1986)    -0.403693  1.17377e-07
rec_dev(1987)   -0.0469435  4.09929e-06
rec_dev(1988)     0.281311 -2.78207e-06
rec_dev(1989)     0.326529   7.7895e-07
rec_dev(1990)    -0.447114  9.30458e-06
rec_dev(1991)    -0.312131 -2.98811e-06
rec_dev(1992)     0.485956 -1.09341e-05
rec_dev(1993)   -0.0654028  5.96247e-06
rec_dev(1994)    -0.222387  8.34294e-06
rec_dev(1995)    -0.223293  5.12557e-06
rec_dev(1996)     0.683137  4.19585e-06
rec_dev(1997)    -0.189714  3.81002e-06
rec_dev(1998)    -0.360724  1.67774e-06
rec_dev(1999)    -0.149955  1.42886e-05
rec_dev(2000)     0.195784  8.55461e-06
rec_dev(2001)    -0.221833  1.32882e-05
rec_dev(2002)    0.0639468  1.20616e-06
rec_dev(2003)    0.0284167  8.84466e-06
rec_dev(2004)     0.453728 -5.14243e-05
rec_dev(2005)    -0.369995   8.4946e-06
rec_dev(2006)    -0.299758  1.11898e-05
rec_dev(2007)    -0.198765  1.55784e-05
rec_dev(2008)    -0.262806  8.46252e-06
rec_dev(2009)   -0.0983391  -6.4916e-07
rec_dev(2010)     0.231564 -2.78899e-05
rec_dev(2011)    -0.767632  7.15818e-06
rec_dev(2012)     -1.56454  9.90988e-06
rec_dev(2013)    -0.793983   6.8466e-07
rec_dev(2014)    -0.825136 -1.77794e-05
