ParName   Value   Gradient
natmort_m     0.139351 -1.23065e-05
q_alpha(1)    -0.246065  8.68005e-06
q_beta[1](1)    0.0649493 -3.12259e-06
q_beta[1](2)    0.0110335  2.67842e-05
q_beta[1](3)  -0.00968302  2.48317e-05
mean_log_rec     0.997308  4.75456e-05
rec_dev(1954)    -0.276763  1.85006e-05
rec_dev(1955)    -0.483108   1.4715e-05
rec_dev(1956)    -0.631377  1.14879e-05
rec_dev(1957)     0.686586  5.19921e-05
rec_dev(1958)     0.282607   3.0831e-05
rec_dev(1959)    -0.145213  4.55365e-05
rec_dev(1960)    -0.308982  3.57687e-05
rec_dev(1961)    -0.898279  1.50888e-05
rec_dev(1962)    -0.253041  6.49675e-05
rec_dev(1963)    -0.902703  2.94035e-05
rec_dev(1964)    -0.981625  2.99411e-05
rec_dev(1965)    -0.708309  3.73477e-05
rec_dev(1966)    -0.661373  3.75184e-05
rec_dev(1967)     0.101748  4.99154e-05
rec_dev(1968)     0.548057  4.95587e-05
rec_dev(1969)     0.583912  2.43109e-05
rec_dev(1970)     0.864281   4.4422e-05
rec_dev(1971)     0.971597  4.32814e-05
rec_dev(1972)     0.728945  2.74754e-05
rec_dev(1973)     0.361823  1.57677e-05
rec_dev(1974)     0.648835  2.90912e-05
rec_dev(1975)     0.812658  2.30356e-05
rec_dev(1976)      0.37972  1.46399e-05
rec_dev(1977)     0.593987  1.94768e-05
rec_dev(1978)     0.180902  1.48468e-05
rec_dev(1979)    -0.272399  5.63196e-06
rec_dev(1980)     0.396465   2.1132e-05
rec_dev(1981)     0.101878  1.25207e-05
rec_dev(1982)      1.18391  6.02008e-05
rec_dev(1983)    -0.592451  1.00955e-05
rec_dev(1984)     0.951833  3.34829e-05
rec_dev(1985)    -0.149756   2.0144e-05
rec_dev(1986)    -0.403521  1.74425e-05
rec_dev(1987)   -0.0467796   2.0034e-05
rec_dev(1988)     0.281469   5.8875e-06
rec_dev(1989)     0.326692  1.21559e-05
rec_dev(1990)    -0.446949  9.07543e-06
rec_dev(1991)    -0.311975  5.65111e-06
rec_dev(1992)     0.486049  2.46452e-05
rec_dev(1993)   -0.0652901  3.39577e-06
rec_dev(1994)    -0.222218  3.36392e-06
rec_dev(1995)    -0.223167  6.51012e-06
rec_dev(1996)     0.683251 -4.29041e-07
rec_dev(1997)    -0.189573  2.66269e-06
rec_dev(1998)    -0.360587  1.41517e-06
rec_dev(1999)    -0.149814 -2.22253e-06
rec_dev(2000)      0.19593  2.36462e-07
rec_dev(2001)    -0.221675 -6.63854e-06
rec_dev(2002)    0.0640837 -3.43244e-06
rec_dev(2003)    0.0285323 -4.48596e-06
rec_dev(2004)     0.453825 -8.66213e-06
rec_dev(2005)    -0.369884  8.29333e-06
rec_dev(2006)    -0.299645  7.04812e-06
rec_dev(2007)    -0.198607   2.9529e-06
rec_dev(2008)    -0.262646  2.11578e-05
rec_dev(2009)   -0.0982195  2.24013e-05
rec_dev(2010)     0.231654  1.60763e-05
rec_dev(2011)    -0.767574 -7.80377e-06
rec_dev(2012)     -1.56435  1.30233e-06
rec_dev(2013)    -0.794158 -2.18716e-05
rec_dev(2014)     -0.82563 -5.61629e-06
rec_dev(2015)    -0.169073  1.87945e-05
rec_dev(2016)       0.1519  1.61525e-05
rec_dev(2017)      1.12003  1.08434e-05
rec_dev(2018)    -0.057033 -7.34425e-08
rec_dev(2019)      1.03166 -8.27872e-07
rec_dev(2020)    -0.109578 -1.38874e-07
