ParName   Value   Gradient
natmort_m     0.125023  0.000107127
q_alpha(1)   0.00153043 -8.90845e-06
q_beta[1](1)    0.0597371 -1.31395e-05
q_beta[1](2)    0.0109743  9.66605e-06
q_beta[1](3)  -0.00327061  7.31079e-05
mean_log_rec     0.911909  -3.3293e-05
rec_dev(1954)     -0.49806 -8.47457e-05
rec_dev(1955)    -0.673189 -7.84761e-05
rec_dev(1956)    -0.817485 -0.000108435
rec_dev(1957)      0.34616 -0.000201961
rec_dev(1958)   -0.0311714 -7.08741e-05
rec_dev(1959)    -0.315993 -3.69724e-05
rec_dev(1960)    -0.369123 -1.76069e-05
rec_dev(1961)    -0.889731 -5.62341e-06
rec_dev(1962)    -0.246045 -1.98588e-05
rec_dev(1963)    -0.885672 -5.97703e-06
rec_dev(1964)    -0.961851 -4.01579e-06
rec_dev(1965)    -0.695482 -1.31342e-06
rec_dev(1966)     -0.66866 -3.24459e-06
rec_dev(1967)    0.0809052 -3.68916e-06
rec_dev(1968)     0.510661  7.14112e-06
rec_dev(1969)     0.576139 -1.58526e-05
rec_dev(1970)     0.833166  1.03639e-05
rec_dev(1971)     0.931837  9.52331e-06
rec_dev(1972)     0.678361  1.47668e-05
rec_dev(1973)     0.310511  7.07662e-06
rec_dev(1974)     0.609188 -7.13155e-06
rec_dev(1975)     0.744392  -4.5949e-06
rec_dev(1976)     0.332695  5.89033e-06
rec_dev(1977)     0.552813  5.66521e-06
rec_dev(1978)      0.17108  1.22015e-05
rec_dev(1979)    -0.274232  2.18259e-05
rec_dev(1980)     0.397808  -2.6851e-05
rec_dev(1981)     0.162556 -5.46949e-06
rec_dev(1982)      1.17532 -0.000111948
rec_dev(1983)    -0.606043 -5.62681e-06
rec_dev(1984)     0.925843 -2.69469e-05
rec_dev(1985)    -0.186605 -1.00387e-05
rec_dev(1986)    -0.452673 -1.93039e-05
rec_dev(1987)   -0.0674529 -1.59528e-05
rec_dev(1988)     0.269836  2.70336e-05
rec_dev(1989)     0.327952  9.61368e-06
rec_dev(1990)    -0.410734  1.88257e-05
rec_dev(1991)    -0.290339 -1.04637e-05
rec_dev(1992)     0.519815  2.57822e-05
rec_dev(1993)   -0.0108021  1.10308e-05
rec_dev(1994)    -0.193059  3.73756e-05
rec_dev(1995)    -0.236452  1.13833e-05
rec_dev(1996)     0.654182  5.10435e-05
rec_dev(1997)    -0.191542  1.12307e-06
rec_dev(1998)    -0.341164 -1.49153e-05
rec_dev(1999)    -0.126403 -2.92841e-06
rec_dev(2000)     0.201075 -2.59938e-06
rec_dev(2001)     -0.21391   1.0826e-07
