ParName   Value   Gradient
natmort_m     0.124565 -2.25199e-05
q_alpha(1)   -0.0285573 -4.77468e-06
q_beta[1](1)    0.0532775 -1.30213e-05
q_beta[1](2)   0.00634342  8.44818e-06
q_beta[1](3)  -0.00559972 -5.72234e-06
mean_log_rec     0.981304  -1.0527e-05
rec_dev(1954)    -0.269043  1.85624e-05
rec_dev(1955)     -0.46727  1.59891e-05
rec_dev(1956)    -0.618443   1.1743e-05
rec_dev(1957)     0.683813 -3.57547e-05
rec_dev(1958)     0.270997 -3.77356e-05
rec_dev(1959)    -0.163657 -2.08866e-05
rec_dev(1960)    -0.335305 -1.96007e-05
rec_dev(1961)    -0.932437 -9.81367e-06
rec_dev(1962)    -0.304247 -9.88202e-06
rec_dev(1963)    -0.955496 -2.60829e-06
rec_dev(1964)     -1.02887 -1.90311e-06
rec_dev(1965)    -0.760929 -2.56934e-06
rec_dev(1966)    -0.734337  3.77467e-06
rec_dev(1967)    0.0180884  4.76387e-06
rec_dev(1968)     0.448676  3.02407e-06
rec_dev(1969)     0.514099 -2.92404e-06
rec_dev(1970)     0.771598 -5.39212e-06
rec_dev(1971)     0.870683  1.64592e-05
rec_dev(1972)     0.617385 -1.47368e-05
rec_dev(1973)     0.250146  4.36671e-06
rec_dev(1974)     0.549706 -1.09772e-05
rec_dev(1975)     0.688584 -8.45806e-06
rec_dev(1976)     0.280626  5.48369e-06
rec_dev(1977)     0.502375  9.19815e-06
rec_dev(1978)     0.120784  3.37822e-06
rec_dev(1979)    -0.324296  5.62784e-07
rec_dev(1980)     0.347983 -3.64423e-06
rec_dev(1981)      0.11265  1.67725e-05
rec_dev(1982)      1.12561 -5.23027e-06
rec_dev(1983)    -0.654504  3.51871e-06
rec_dev(1984)     0.875777   1.9069e-06
rec_dev(1985)    -0.236241  7.79574e-06
rec_dev(1986)    -0.501934  -2.0776e-06
rec_dev(1987)    -0.118306 -1.21434e-05
rec_dev(1988)      0.21785  1.30858e-05
rec_dev(1989)     0.275752  7.95368e-06
rec_dev(1990)    -0.462164  1.45494e-06
rec_dev(1991)    -0.341429 -3.13144e-06
rec_dev(1992)     0.468117 -4.69984e-07
rec_dev(1993)   -0.0633402 -4.93874e-06
rec_dev(1994)    -0.244897 -3.96654e-06
rec_dev(1995)    -0.287311 -1.79395e-06
rec_dev(1996)     0.604748  1.06982e-05
rec_dev(1997)    -0.239779 -3.24158e-06
rec_dev(1998)    -0.387707 -3.00549e-06
rec_dev(1999)     -0.17051 -7.19655e-06
rec_dev(2000)     0.158478  1.10452e-05
rec_dev(2001)    -0.248806  1.56827e-05
