ParName   Value   Gradient
natmort_m     0.127699 -5.46665e-06
q_alpha(1)     0.159331  1.94585e-06
q_beta[1](1)    0.0741903 -6.68056e-07
q_beta[1](2)    0.0079193  -1.9924e-06
q_beta[1](3)  -0.00370241 -2.47441e-06
mean_log_rec     0.804494  7.04241e-06
rec_dev(1954)    -0.304174 -1.28986e-07
rec_dev(1955)     -0.61261  2.55067e-06
rec_dev(1956)    -0.803064  6.44391e-07
rec_dev(1957)     0.333694  4.46954e-06
rec_dev(1958)    0.0680627  6.10993e-06
rec_dev(1959)    -0.177083   6.0887e-06
rec_dev(1960)    -0.190398  5.65715e-06
rec_dev(1961)     -0.62514 -1.10584e-07
rec_dev(1962)   -0.0851216  3.68417e-06
rec_dev(1963)    -0.680705  8.18783e-07
rec_dev(1964)    -0.745348  2.33069e-06
rec_dev(1965)    -0.459719  5.03118e-06
rec_dev(1966)    -0.389746  3.48574e-06
rec_dev(1967)     0.259146  2.77845e-06
rec_dev(1968)     0.681741  1.51983e-06
rec_dev(1969)     0.656599  1.21873e-06
rec_dev(1970)     0.926303  3.67402e-06
rec_dev(1971)      1.02319  2.30851e-07
rec_dev(1972)     0.778865 -3.04856e-06
rec_dev(1973)     0.386332 -2.20806e-07
rec_dev(1974)     0.647125 -6.57775e-07
rec_dev(1975)     0.801095  1.14396e-06
rec_dev(1976)     0.322444     2.39e-06
rec_dev(1977)     0.484084  2.78899e-06
rec_dev(1978)    0.0233735  1.55314e-06
rec_dev(1979)     -0.37604  3.40958e-07
rec_dev(1980)     0.111205 -1.62225e-06
rec_dev(1981)   -0.0724623 -4.31221e-07
rec_dev(1982)     0.948844 -3.22375e-07
rec_dev(1983)    -0.441894  2.51891e-07
rec_dev(1984)     0.825609  1.99282e-06
rec_dev(1985)   -0.0767599  6.55411e-07
rec_dev(1986)    -0.329953  8.90043e-07
rec_dev(1987)   -0.0296072  1.40569e-06
rec_dev(1988)     0.255299  3.15267e-06
rec_dev(1989)     0.367353  4.64795e-06
rec_dev(1990)    -0.263875  2.86425e-06
rec_dev(1991)    -0.155729  4.14697e-06
rec_dev(1992)     0.463301  6.10276e-06
rec_dev(1993)   0.00282974  3.64181e-06
rec_dev(1994)    -0.120294  2.32791e-06
rec_dev(1995)   -0.0628071  2.36926e-06
rec_dev(1996)     0.724924  3.97362e-06
rec_dev(1997)   -0.0319101  2.66625e-06
rec_dev(1998)    -0.153571  1.90702e-06
rec_dev(1999)   -0.0209684  1.89837e-06
rec_dev(2000)     0.302046   5.0263e-06
rec_dev(2001)   -0.0580753  4.00695e-06
rec_dev(2002)     0.208288  4.27664e-06
rec_dev(2003)     0.171664  5.16187e-06
rec_dev(2004)     0.549852   4.6355e-06
rec_dev(2005)    -0.228491  4.11933e-06
rec_dev(2006)    -0.175367  3.88109e-06
rec_dev(2007)   -0.0770762  3.69633e-06
rec_dev(2008)    -0.149606  3.60753e-06
rec_dev(2009)   -0.0445823  3.80355e-06
rec_dev(2010)     0.156837  5.46907e-06
rec_dev(2011)    -0.697463  2.38814e-06
rec_dev(2012)     -1.12156  2.00315e-06
rec_dev(2013)    -0.826929  1.93154e-06
rec_dev(2014)    -0.955035  2.07258e-06
rec_dev(2015)    -0.545706  3.18869e-06
rec_dev(2016)    -0.295209  3.39255e-06
rec_dev(2017)     0.315983  6.52731e-06
rec_dev(2018)    -0.394795   3.6696e-07
rec_dev(2019)   -0.0366554  1.78599e-06
rec_dev(2020)     0.143489  2.05364e-07
rec_dev(2021)    -0.085851 -8.40139e-07
rec_dev(2022)   -0.0199762 -3.97498e-07
rec_dev(2023)   -0.0177931 -1.16195e-07
rec_dev(2024) -0.000424025  1.10526e-07
mean_log_init    -0.559873  1.39434e-07
init_dev_m(2)     0.446697 -1.30407e-07
init_dev_m(3)    0.0990721  2.28448e-07
init_dev_m(4)    0.0187283 -1.53346e-07
init_dev_m(5)   -0.0172906 -2.13509e-07
init_dev_m(6)   -0.0248696   6.8288e-08
init_dev_m(7)    -0.028369  2.11057e-07
init_dev_m(8)   -0.0306387 -2.54377e-07
init_dev_m(9)   -0.0333624 -1.46838e-07
init_dev_m(10)   -0.0355102 -1.18131e-07
init_dev_m(11)   -0.0367356   2.2663e-07
init_dev_m(12)   -0.0387074  2.05569e-07
init_dev_m(13)   -0.0394346  1.96978e-08
init_dev_m(14)    -0.040122  1.90421e-07
init_dev_m(15)   -0.0404599  2.43953e-07
init_dev_m(16)   -0.0405903 -4.36762e-08
init_dev_m(17)   -0.0406722   1.7574e-07
init_dev_m(18)   -0.0407368 -1.96286e-08
init_dev_m(19)   -0.0407728  7.26564e-08
init_dev_m(20)   -0.0407963  2.13782e-07
init_dev_f(2)     0.463113   1.0371e-06
init_dev_f(3)     0.102464 -2.55354e-07
init_dev_f(4)    0.0195836  1.58318e-08
init_dev_f(5)   -0.0175661 -2.34101e-07
init_dev_f(6)    -0.025376  3.76996e-07
init_dev_f(7)   -0.0289543  1.80856e-07
init_dev_f(8)   -0.0312713  -4.7139e-08
init_dev_f(9)   -0.0340555 -1.23516e-07
init_dev_f(10)    -0.036247  2.81643e-07
init_dev_f(11)   -0.0374931  2.82964e-07
init_dev_f(12)   -0.0395017  3.10078e-07
init_dev_f(13)   -0.0402398  3.62986e-07
init_dev_f(14)   -0.0409369  1.34126e-07
init_dev_f(15)   -0.0412787  2.94438e-07
init_dev_f(16)     -0.04141  6.01611e-07
init_dev_f(17)   -0.0414924 -5.82692e-07
init_dev_f(18)   -0.0415573  9.75094e-08
init_dev_f(19)   -0.0415933   2.5102e-07
init_dev_f(20)   -0.0416169 -3.38104e-08
log_avg_fmort(1)     -2.45064  8.26119e-07
fmort_dev(1,1954)     -2.69553 -2.89222e-06
fmort_dev(1,1955)     -2.51828 -8.20454e-07
fmort_dev(1,1956)     -1.96468  7.92096e-06
fmort_dev(1,1957)     -1.94246  7.99046e-07
fmort_dev(1,1958)     -1.28234 -2.03964e-06
fmort_dev(1,1959)     0.261696 -3.41784e-07
fmort_dev(1,1960)      1.43778  -2.1872e-06
fmort_dev(1,1961)      2.12133  3.49354e-06
fmort_dev(1,1962)      3.71273  1.47434e-06
fmort_dev(1,1963)       1.3333 -1.83794e-05
fmort_dev(1,1964)      1.14824  6.05161e-06
fmort_dev(1,1965)     0.887739 -6.11358e-06
fmort_dev(1,1966)      1.44109 -1.18722e-06
fmort_dev(1,1967)      1.69936  3.95876e-06
fmort_dev(1,1968)      1.14624  7.35727e-06
fmort_dev(1,1969)      1.97091   6.4949e-06
fmort_dev(1,1970)      1.59513 -1.29415e-06
fmort_dev(1,1971)      1.82059 -1.25118e-05
fmort_dev(1,1972)     0.853818  5.47101e-06
fmort_dev(1,1973)      1.20325  9.66216e-06
fmort_dev(1,1974)    -0.017911  -1.4298e-07
fmort_dev(1,1975)     0.175309 -5.66554e-06
fmort_dev(1,1976)    0.0123685  9.94996e-06
fmort_dev(1,1977)    -0.588954  8.12747e-06
fmort_dev(1,1978)     0.127703  9.18698e-06
fmort_dev(1,1979)    -0.382582  8.45948e-06
fmort_dev(1,1980)     -0.57363 -3.27101e-05
fmort_dev(1,1981)    -0.588572 -1.65783e-05
fmort_dev(1,1982)    -0.735154  1.38351e-06
fmort_dev(1,1983)    -0.670575  1.71166e-06
fmort_dev(1,1984)    -0.245421  3.80402e-06
fmort_dev(1,1985)     0.154688  3.48023e-06
fmort_dev(1,1986)     0.117566  4.29879e-06
fmort_dev(1,1987)    0.0764624  6.22785e-06
fmort_dev(1,1988)     0.354282  6.56923e-06
fmort_dev(1,1989)    0.0832245 -5.40263e-06
fmort_dev(1,1990)    -0.583812  1.56282e-05
fmort_dev(1,1991)     -0.45082 -2.91876e-05
fmort_dev(1,1992)    -0.199967 -7.64121e-06
fmort_dev(1,1993)    -0.381485  3.61984e-07
fmort_dev(1,1994)   -0.0563599  3.56418e-07
fmort_dev(1,1995)    -0.158477 -2.87141e-06
fmort_dev(1,1996)    -0.203324 -3.84918e-06
fmort_dev(1,1997)     0.254846 -1.17285e-05
fmort_dev(1,1998)    -0.145084 -2.05321e-06
fmort_dev(1,1999)    -0.499071 -1.16507e-06
fmort_dev(1,2000)    -0.359931  1.19663e-05
fmort_dev(1,2001)    -0.680352  1.90332e-05
fmort_dev(1,2002)    -0.523002 -9.07728e-06
fmort_dev(1,2003)    -0.681046   1.5429e-06
fmort_dev(1,2004)    -0.773913 -6.35608e-07
fmort_dev(1,2005)    -0.631398 -4.99236e-06
fmort_dev(1,2006)     -0.59772  3.25388e-06
fmort_dev(1,2007)    -0.354965  -5.4283e-07
fmort_dev(1,2008)    -0.112031 -1.90015e-06
fmort_dev(1,2009)    -0.506634  5.38501e-06
fmort_dev(1,2010)    -0.389398  1.36385e-06
fmort_dev(1,2011)    -0.160554 -3.30336e-06
fmort_dev(1,2012)    -0.183323 -1.69165e-06
fmort_dev(1,2013)   -0.0142877 -9.38013e-07
fmort_dev(1,2014)   0.00056235 -4.08381e-06
fmort_dev(1,2015)    -0.173108  1.32495e-06
fmort_dev(1,2016)   -0.0896794  8.68628e-06
fmort_dev(1,2017)     -0.12503 -5.45316e-06
fmort_dev(1,2018)   -0.0854316 -1.34906e-06
fmort_dev(1,2019)   -0.0328452 -1.04194e-06
fmort_dev(1,2020)      0.02249  6.16559e-07
fmort_dev(1,2021)    -0.162686  2.22883e-06
fmort_dev(1,2022)     0.135228 -2.24887e-06
fmort_dev(1,2023)    -0.125091  1.42411e-05
fmort_dev(1,2024)    -0.501033    2.014e-05
sel_slope_fsh_f(1)      1.19217 -1.04061e-05
sel50_fsh_f(1)      8.21753 -3.12899e-06
sel_slope_fsh_devs_f(1,1954)  6.66638e-06  -1.4288e-07
sel_slope_fsh_devs_f(1,1955)  4.54888e-05 -1.87067e-07
sel_slope_fsh_devs_f(1,1956)  0.000209869 -2.53128e-08
sel_slope_fsh_devs_f(1,1957)  0.000439329  2.49791e-07
sel_slope_fsh_devs_f(1,1958)     0.001248 -8.08726e-08
sel_slope_fsh_devs_f(1,1959)   0.00443745 -6.90457e-08
sel_slope_fsh_devs_f(1,1960)  -0.00150551  9.75956e-08
